REPORTE MENSUAL COMPLETO — ESTRATEGIAS GANADORAS XAUUSD
10 años: 2016-01-04 → 2026-05-06  (123.6 meses)
Objetivos: Ret≥2% | MaxDD≥-7% | PeorDia≥-3% | Trades≥7/mes


================================================================================
  M15  —  M15
  Señal: ver strategy_M15.py  |  SLM=0.8×ATR  TP=5.0×ATR  Hold=12  RP=0.3%
================================================================================
  Mes         Retorno    MaxDD   PeorDia  Trades    WR%       Equity   Obj?
  ---------------------------------------------------------------------------
  Jan 2016     +4.84%   -1.19%    -0.90%      23   39.1%       104,841  ✅
  Feb 2016    +13.72%   -0.72%    -0.30%      23   65.2%       119,227  ✅
  Mar 2016     +2.74%   -0.90%    -0.60%      23   30.4%       122,490  ✅
  Apr 2016     +5.82%   -1.41%    -0.60%      23   47.8%       129,614  ✅
  May 2016     +1.66%   -2.67%    -0.90%      31   25.8%       131,763  ❌
  Jun 2016    +10.96%   -1.37%    -0.60%      29   48.3%       146,203  ✅
  Jul 2016     +7.05%   -2.37%    -1.19%      24   50.0%       156,514  ✅
  Aug 2016     +4.72%   -2.08%    -1.19%      30   36.7%       163,899  ✅
  Sep 2016     +5.05%   -2.96%    -1.49%      36   30.6%       172,169  ✅
  Oct 2016     +7.19%   -0.90%    -0.30%      28   53.6%       184,544  ✅
  Nov 2016     +3.53%   -1.79%    -0.90%      40   32.5%       191,059  ✅
  Dec 2016     +7.79%   -0.90%    -0.90%      35   42.9%       205,941  ✅
  Jan 2017     +6.81%   -1.36%    -0.90%      29   37.9%       219,956  ✅
  Feb 2017     +6.83%   -1.19%    -1.19%      28   42.9%       234,982  ✅
  Mar 2017     +4.03%   -1.79%    -1.19%      30   33.3%       244,460  ✅
  Apr 2017     +5.00%   -1.19%    -0.90%      19   42.1%       256,678  ✅
  May 2017     +0.35%   -3.07%    -0.90%      25   28.0%       257,566  ❌
  Jun 2017     +0.65%   -2.07%    -0.90%      24   33.3%       259,236  ❌
  Jul 2017     +2.45%   -2.30%    -1.19%      30   36.7%       265,592  ✅
  Aug 2017     +3.00%   -1.48%    -1.19%      27   40.7%       273,566  ✅
  Sep 2017     +0.84%   -2.23%    -1.19%      26   26.9%       275,856  ❌
  Oct 2017     +2.08%   -1.78%    -1.19%      35   37.1%       281,590  ✅
  Nov 2017     -0.51%   -2.22%    -0.60%      20   30.0%       280,153  ❌
  Dec 2017     +5.68%   -1.57%    -0.60%      20   35.0%       296,077  ✅
  Jan 2018     +3.57%   -2.00%    -1.19%      32   31.2%       306,649  ✅
  Feb 2018     -1.67%   -3.25%    -1.49%      32   25.0%       301,537  ❌
  Mar 2018     +2.25%   -1.79%    -0.90%      25   36.0%       308,311  ✅
  Apr 2018     -1.94%   -2.66%    -1.19%      22   22.7%       302,316  ❌
  May 2018     +1.99%   -1.19%    -0.60%      18   33.3%       308,325  ❌
  Jun 2018     +4.84%   -1.19%    -0.90%      26   50.0%       323,242  ✅
  Jul 2018     +0.83%   -1.91%    -0.90%      34   26.5%       325,919  ❌
  Aug 2018     +0.99%   -2.23%    -0.80%      23   34.8%       329,136  ❌
  Sep 2018     -1.97%   -2.42%    -0.60%      23   30.4%       322,652  ❌
  Oct 2018    +10.40%   -2.11%    -0.90%      32   43.8%       356,207  ✅
  Nov 2018     -2.32%   -2.36%    -0.72%      18   27.8%       347,955  ❌
  Dec 2018     +8.64%   -2.20%    -1.49%      34   44.1%       378,019  ✅
  Jan 2019     +7.31%   -1.19%    -0.30%      26   57.7%       405,668  ✅
  Feb 2019     +4.51%   -1.19%    -1.19%      20   40.0%       423,951  ✅
  Mar 2019     +5.95%   -2.11%    -0.71%      24   45.8%       449,182  ✅
  Apr 2019     +0.30%   -2.43%    -1.03%      29   37.9%       450,536  ❌
